date,keyword,value,region,disease
2024-01-01,tos,50.24,MX,hantavirus
2024-01-01,tos,47.07,SLP,hantavirus
2024-01-01,fiebre,51.68,MX,hantavirus
2024-01-01,fiebre,56.05,SLP,hantavirus
2024-01-01,dolor muscular,39.58,MX,hantavirus
2024-01-01,dolor muscular,39.58,SLP,hantavirus
2024-01-01,dificultad para respirar,39.67,MX,hantavirus
2024-01-01,dificultad para respirar,35.61,SLP,hantavirus
2024-01-01,sangrado,27.41,MX,hantavirus
2024-01-01,sangrado,32.47,SLP,hantavirus
2024-01-01,raton de campo,34.23,MX,hantavirus
2024-01-01,raton de campo,34.22,SLP,hantavirus
2024-01-01,hantavirus sintomas,47.12,MX,hantavirus
2024-01-01,hantavirus sintomas,36.35,SLP,hantavirus
2024-01-01,covid tos,76.45,MX,covid
2024-01-01,covid tos,71.1,SLP,covid
2024-01-01,covid fiebre,80.57,MX,covid
2024-01-01,covid fiebre,80.4,SLP,covid
2024-01-01,perdida de olfato,71.44,MX,covid
2024-01-01,perdida de olfato,70.24,SLP,covid
2024-01-01,covid mexico,55.36,MX,covid
2024-01-01,covid mexico,60.33,SLP,covid
2024-01-01,covid slp,58.7,MX,covid
2024-01-01,covid slp,56.4,SLP,covid
2024-01-01,dengue fiebre,55.06,MX,dengue
2024-01-01,dengue fiebre,48.12,SLP,dengue
2024-01-01,dolor de huesos,45.88,MX,dengue
2024-01-01,dolor de huesos,47.94,SLP,dengue
2024-01-01,sarpullido,46.38,MX,dengue
2024-01-01,sarpullido,43.29,SLP,dengue
2024-01-01,dengue slp,37.0,MX,dengue
2024-01-01,dengue slp,42.66,SLP,dengue
2024-01-01,mosquito,32.98,MX,dengue
2024-01-01,mosquito,27.78,SLP,dengue
2024-01-02,tos,52.26,MX,hantavirus
2024-01-02,tos,45.51,SLP,hantavirus
2024-01-02,fiebre,45.4,MX,hantavirus
2024-01-02,fiebre,46.74,SLP,hantavirus
2024-01-02,dolor muscular,45.59,MX,hantavirus
2024-01-02,dolor muscular,48.09,SLP,hantavirus
2024-01-02,dificultad para respirar,33.66,MX,hantavirus
2024-01-02,dificultad para respirar,34.76,SLP,hantavirus
2024-01-02,sangrado,26.68,MX,hantavirus
2024-01-02,sangrado,34.22,SLP,hantavirus
2024-01-02,raton de campo,39.39,MX,hantavirus
2024-01-02,raton de campo,33.08,SLP,hantavirus
2024-01-02,hantavirus sintomas,37.05,MX,hantavirus
2024-01-02,hantavirus sintomas,39.89,SLP,hantavirus
2024-01-02,covid tos,69.85,MX,covid
2024-01-02,covid tos,85.18,SLP,covid
2024-01-02,covid fiebre,78.52,MX,covid
2024-01-02,covid fiebre,85.28,SLP,covid
2024-01-02,perdida de olfato,63.44,MX,covid
2024-01-02,perdida de olfato,68.41,SLP,covid
2024-01-02,covid mexico,62.46,MX,covid
2024-01-02,covid mexico,62.67,SLP,covid
2024-01-02,covid slp,58.16,MX,covid
2024-01-02,covid slp,63.53,SLP,covid
2024-01-02,dengue fiebre,58.26,MX,dengue
2024-01-02,dengue fiebre,54.24,SLP,dengue
2024-01-02,dolor de huesos,50.47,MX,dengue
2024-01-02,dolor de huesos,57.91,SLP,dengue
2024-01-02,sarpullido,43.21,MX,dengue
2024-01-02,sarpullido,38.52,SLP,dengue
2024-01-02,dengue slp,41.46,MX,dengue
